num_assessments,average_score,original_final_result
5.0,66.0,Aprovado
5.0,78.0,Aprovado
4.0,67.75,Aprovado
1.0,65.0,Reprovado
5.0,78.0,Aprovado
5.0,79.2,Aprovado
5.0,75.8,Aprovado
5.0,58.4,Aprovado
5.0,78.8,Aprovado
5.0,58.6,Reprovado
5.0,77.4,Aprovado
5.0,55.6,Aprovado
5.0,78.4,Aprovado
5.0,71.4,Aprovado
5.0,76.8,Aprovado
5.0,58.8,Aprovado
5.0,64.8,Aprovado
3.0,65.0,Reprovado
5.0,71.0,Aprovado
5.0,76.6,Aprovado
5.0,74.6,Reprovado
2.0,43.0,Reprovado
5.0,76.4,Aprovado
3.0,67.66666666666667,Reprovado
5.0,79.2,Aprovado
5.0,73.4,Aprovado
5.0,55.4,Reprovado
0.0,0.0,Reprovado
5.0,60.6,Aprovado
5.0,71.0,Aprovado
5.0,67.8,Aprovado
5.0,70.4,Aprovado
5.0,75.0,Aprovado
5.0,83.6,Aprovado
0.0,0.0,Reprovado
4.0,46.75,Aprovado
5.0,78.2,Aprovado
5.0,52.8,Aprovado
5.0,50.2,Reprovado
5.0,86.8,Aprovado
5.0,80.8,Aprovado
5.0,78.8,Aprovado
3.0,58.666666666666664,Reprovado
1.0,64.0,Reprovado
5.0,78.0,Aprovado
0.0,0.0,Reprovado
5.0,58.2,Aprovado
5.0,82.0,Aprovado
5.0,62.6,Aprovado
5.0,81.2,Aprovado
4.0,60.0,Aprovado
5.0,59.2,Aprovado
5.0,87.8,Aprovado
5.0,61.8,Aprovado
5.0,66.6,Aprovado
5.0,78.4,Aprovado
5.0,80.4,Aprovado
5.0,80.4,Aprovado
5.0,57.6,Aprovado
5.0,61.2,Aprovado
1.0,84.0,Reprovado
5.0,74.4,Aprovado
5.0,65.8,Aprovado
5.0,74.4,Aprovado
2.0,53.0,Reprovado
1.0,36.0,Reprovado
3.0,86.33333333333333,Reprovado
5.0,68.2,Aprovado
5.0,49.8,Aprovado
5.0,64.2,Reprovado
1.0,75.0,Reprovado
5.0,77.2,Aprovado
5.0,60.4,Aprovado
5.0,78.4,Aprovado
5.0,49.2,Reprovado
5.0,78.0,Aprovado
5.0,80.4,Aprovado
5.0,82.4,Aprovado
0.0,0.0,Reprovado
5.0,73.8,Aprovado
0.0,0.0,Reprovado
3.0,57.0,Reprovado
4.0,69.0,Reprovado
5.0,56.4,Aprovado
5.0,70.0,Aprovado
5.0,76.8,Aprovado
5.0,50.4,Aprovado
5.0,55.6,Reprovado
5.0,66.4,Aprovado
5.0,87.0,Aprovado
5.0,72.8,Aprovado
5.0,67.8,Aprovado
5.0,75.6,Aprovado
5.0,67.8,Aprovado
5.0,68.0,Aprovado
5.0,63.8,Aprovado
5.0,60.6,Aprovado
3.0,69.66666666666667,Reprovado
5.0,45.0,Reprovado
5.0,68.4,Aprovado
5.0,74.2,Aprovado
5.0,61.4,Aprovado
5.0,46.4,Reprovado
5.0,65.0,Aprovado
5.0,72.6,Aprovado
5.0,43.8,Aprovado
5.0,77.2,Aprovado
0.0,0.0,Reprovado
5.0,76.4,Aprovado
3.0,59.666666666666664,Reprovado
3.0,76.0,Reprovado
5.0,58.4,Aprovado
5.0,59.8,Aprovado
5.0,70.6,Aprovado
2.0,40.5,Reprovado
5.0,87.6,Aprovado
1.0,86.0,Reprovado
5.0,70.6,Aprovado
0.0,0.0,Reprovado
5.0,66.6,Aprovado
5.0,73.0,Aprovado
5.0,71.8,Aprovado
5.0,72.4,Aprovado
5.0,81.0,Aprovado
5.0,72.0,Aprovado
5.0,59.2,Reprovado
2.0,81.5,Reprovado
5.0,73.2,Aprovado
5.0,71.4,Aprovado
2.0,40.0,Reprovado
5.0,82.8,Aprovado
5.0,76.2,Aprovado
5.0,63.0,Reprovado
2.0,66.0,Reprovado
5.0,66.0,Aprovado
5.0,80.8,Aprovado
1.0,80.0,Reprovado
5.0,72.0,Aprovado
5.0,81.2,Aprovado
5.0,76.4,Aprovado
5.0,61.8,Aprovado
5.0,77.2,Aprovado
5.0,72.0,Aprovado
4.0,59.75,Reprovado
5.0,68.0,Aprovado
5.0,56.6,Aprovado
5.0,70.0,Aprovado
5.0,82.6,Aprovado
2.0,65.5,Reprovado
2.0,35.0,Reprovado
5.0,75.2,Aprovado
2.0,59.0,Reprovado
0.0,0.0,Reprovado
5.0,81.8,Aprovado
5.0,61.6,Reprovado
5.0,61.8,Aprovado
5.0,73.0,Aprovado
5.0,79.6,Aprovado
2.0,77.5,Reprovado
5.0,84.6,Aprovado
5.0,85.0,Aprovado
1.0,68.0,Reprovado
5.0,78.2,Aprovado
5.0,83.8,Aprovado
2.0,61.0,Reprovado
0.0,0.0,Reprovado
5.0,66.2,Aprovado
5.0,76.8,Aprovado
5.0,77.4,Aprovado
5.0,71.0,Aprovado
5.0,62.6,Aprovado
5.0,72.0,Aprovado
5.0,73.6,Aprovado
5.0,70.4,Aprovado
5.0,73.0,Aprovado
5.0,53.6,Aprovado
5.0,83.6,Reprovado
4.0,67.25,Aprovado
5.0,76.0,Aprovado
5.0,78.4,Aprovado
5.0,66.6,Aprovado
5.0,61.2,Reprovado
3.0,35.666666666666664,Reprovado
3.0,60.333333333333336,Reprovado
5.0,69.6,Aprovado
5.0,67.8,Aprovado
4.0,59.75,Reprovado
5.0,65.6,Aprovado
5.0,82.4,Aprovado
3.0,66.0,Reprovado
5.0,52.6,Aprovado
5.0,70.0,Aprovado
0.0,0.0,Reprovado
5.0,62.2,Aprovado
5.0,73.8,Aprovado
1.0,70.0,Reprovado
5.0,69.0,Aprovado
5.0,66.0,Aprovado
5.0,67.2,Aprovado
5.0,75.6,Aprovado
5.0,71.2,Aprovado
5.0,76.4,Aprovado
2.0,54.5,Reprovado
5.0,83.0,Aprovado
5.0,51.4,Aprovado
5.0,61.2,Aprovado
3.0,32.0,Reprovado
0.0,0.0,Reprovado
0.0,0.0,Reprovado
5.0,57.2,Aprovado
5.0,80.0,Aprovado
5.0,73.2,Reprovado
4.0,51.5,Reprovado
5.0,67.8,Reprovado
1.0,68.0,Reprovado
5.0,83.4,Aprovado
0.0,0.0,Reprovado
5.0,75.6,Aprovado
5.0,50.6,Aprovado
5.0,73.4,Aprovado
4.0,73.0,Reprovado
5.0,46.8,Reprovado
2.0,80.0,Reprovado
5.0,82.8,Aprovado
5.0,77.6,Aprovado
1.0,51.0,Reprovado
5.0,74.4,Aprovado
5.0,60.6,Aprovado
3.0,24.666666666666668,Reprovado
5.0,70.0,Aprovado
5.0,90.6,Aprovado
5.0,78.8,Aprovado
2.0,56.0,Reprovado
4.0,44.5,Reprovado
1.0,67.0,Reprovado
5.0,79.6,Aprovado
5.0,75.8,Aprovado
5.0,55.6,Aprovado
5.0,73.6,Aprovado
5.0,77.2,Aprovado
5.0,79.4,Aprovado
5.0,76.6,Aprovado
5.0,60.8,Aprovado
4.0,61.75,Aprovado
5.0,78.0,Aprovado
5.0,63.2,Aprovado
5.0,80.8,Aprovado
0.0,0.0,Reprovado
5.0,62.6,Aprovado
5.0,64.8,Aprovado
2.0,53.5,Reprovado
5.0,80.6,Aprovado
5.0,81.2,Aprovado
5.0,71.2,Aprovado
5.0,65.4,Aprovado
5.0,71.8,Aprovado
5.0,71.8,Aprovado
0.0,0.0,Reprovado
5.0,75.4,Aprovado
5.0,70.8,Aprovado
1.0,64.0,Reprovado
5.0,79.6,Aprovado
5.0,73.6,Aprovado
5.0,76.0,Aprovado
5.0,72.6,Aprovado
5.0,76.4,Aprovado
5.0,70.0,Aprovado
5.0,71.4,Aprovado
5.0,78.2,Aprovado
5.0,64.8,Aprovado
0.0,0.0,Reprovado
4.0,56.0,Aprovado
5.0,79.4,Aprovado
5.0,65.6,Aprovado
5.0,79.2,Aprovado
5.0,51.2,Aprovado
5.0,82.6,Aprovado
5.0,83.4,Aprovado
5.0,84.2,Aprovado
5.0,63.2,Aprovado
5.0,76.0,Aprovado
5.0,57.2,Reprovado
5.0,68.8,Aprovado
3.0,43.333333333333336,Reprovado
5.0,71.4,Aprovado
5.0,78.6,Aprovado
5.0,67.8,Aprovado
5.0,81.6,Aprovado
5.0,84.8,Aprovado
4.0,58.25,Aprovado
5.0,79.4,Aprovado
5.0,67.8,Aprovado
5.0,61.8,Aprovado
5.0,46.8,Aprovado
5.0,86.2,Aprovado
5.0,77.6,Aprovado
5.0,54.8,Aprovado
5.0,64.8,Aprovado
5.0,63.0,Aprovado
5.0,71.0,Aprovado
5.0,76.0,Aprovado
5.0,73.4,Aprovado
5.0,71.6,Aprovado
5.0,51.4,Aprovado
2.0,67.0,Reprovado
5.0,80.2,Aprovado
5.0,81.8,Aprovado
3.0,60.666666666666664,Reprovado
4.0,58.0,Aprovado
5.0,77.6,Aprovado
5.0,71.2,Aprovado
3.0,50.0,Reprovado
5.0,63.6,Aprovado
2.0,45.0,Reprovado
5.0,82.6,Aprovado
5.0,82.0,Aprovado
5.0,61.8,Aprovado
5.0,67.8,Aprovado
0.0,0.0,Reprovado
5.0,57.6,Aprovado
4.0,67.0,Reprovado
5.0,76.0,Aprovado
5.0,87.2,Aprovado
5.0,64.8,Aprovado
3.0,81.0,Reprovado
5.0,78.4,Aprovado
5.0,58.4,Aprovado
5.0,60.0,Aprovado
5.0,78.6,Aprovado
5.0,65.4,Aprovado
5.0,78.2,Aprovado
0.0,0.0,Reprovado
5.0,49.8,Aprovado
5.0,84.0,Aprovado
5.0,61.0,Reprovado
5.0,49.6,Aprovado
1.0,75.0,Reprovado
5.0,63.4,Aprovado
5.0,64.6,Aprovado
5.0,84.0,Aprovado
5.0,66.4,Aprovado
5.0,68.4,Aprovado
3.0,67.0,Reprovado
1.0,71.0,Reprovado
5.0,77.4,Aprovado
3.0,74.0,Reprovado
3.0,69.33333333333333,Reprovado
5.0,62.4,Aprovado
1.0,77.0,Reprovado
5.0,76.0,Aprovado
5.0,60.4,Aprovado
5.0,75.4,Aprovado
5.0,65.0,Aprovado
5.0,69.6,Aprovado
1.0,85.0,Reprovado
5.0,65.6,Aprovado
5.0,59.6,Reprovado
5.0,70.8,Aprovado
5.0,75.8,Aprovado
5.0,69.4,Aprovado
5.0,66.0,Aprovado
5.0,66.4,Aprovado
5.0,83.0,Aprovado
5.0,70.6,Aprovado
5.0,66.2,Aprovado
5.0,59.6,Aprovado
5.0,56.4,Aprovado
5.0,46.4,Aprovado
5.0,72.4,Aprovado
5.0,43.6,Reprovado
5.0,67.2,Aprovado
5.0,85.0,Aprovado
5.0,49.0,Aprovado
5.0,82.8,Aprovado
5.0,80.6,Aprovado
0.0,0.0,Reprovado
5.0,70.2,Aprovado
5.0,74.0,Aprovado
5.0,79.6,Aprovado
5.0,88.8,Aprovado
5.0,53.8,Aprovado
0.0,0.0,Reprovado
5.0,81.8,Aprovado
5.0,54.0,Reprovado
3.0,45.0,Reprovado
5.0,73.0,Aprovado
5.0,46.0,Reprovado
3.0,67.66666666666667,Reprovado
5.0,72.4,Aprovado
5.0,83.0,Aprovado
5.0,86.2,Aprovado
5.0,72.8,Aprovado
5.0,73.6,Aprovado
5.0,73.4,Aprovado
0.0,0.0,Reprovado
5.0,75.2,Aprovado
5.0,66.0,Aprovado
5.0,84.6,Aprovado
5.0,81.6,Aprovado
5.0,60.0,Aprovado
5.0,80.6,Aprovado
5.0,77.6,Reprovado
5.0,67.0,Reprovado
5.0,64.0,Aprovado
5.0,77.2,Aprovado
5.0,72.8,Reprovado
5.0,79.2,Aprovado
5.0,52.8,Aprovado
5.0,85.2,Aprovado
5.0,80.4,Aprovado
5.0,74.8,Aprovado
5.0,75.6,Aprovado
5.0,52.8,Aprovado
5.0,66.0,Aprovado
5.0,76.0,Aprovado
5.0,65.8,Aprovado
0.0,0.0,Reprovado
5.0,80.8,Aprovado
5.0,68.6,Aprovado
5.0,82.4,Aprovado
5.0,75.2,Aprovado
0.0,0.0,Reprovado
5.0,55.8,Aprovado
0.0,0.0,Reprovado
5.0,49.8,Reprovado
5.0,59.6,Aprovado
5.0,84.8,Aprovado
5.0,82.2,Aprovado
5.0,39.8,Reprovado
5.0,70.2,Aprovado
5.0,87.2,Aprovado
1.0,44.0,Reprovado
5.0,73.8,Aprovado
2.0,68.5,Reprovado
5.0,83.8,Aprovado
5.0,73.8,Aprovado
5.0,77.4,Aprovado
5.0,72.6,Aprovado
2.0,61.5,Reprovado
5.0,76.6,Aprovado
5.0,52.2,Aprovado
5.0,69.6,Aprovado
5.0,64.6,Aprovado
5.0,64.6,Aprovado
5.0,58.0,Reprovado
4.0,71.5,Aprovado
5.0,75.0,Aprovado
5.0,59.6,Aprovado
5.0,73.6,Reprovado
5.0,81.6,Aprovado
5.0,65.6,Aprovado
5.0,71.4,Aprovado
5.0,75.6,Aprovado
5.0,83.0,Aprovado
5.0,78.8,Reprovado
5.0,76.6,Aprovado
3.0,72.0,Reprovado
5.0,78.6,Aprovado
5.0,80.2,Aprovado
5.0,75.4,Aprovado
5.0,80.4,Aprovado
2.0,55.0,Reprovado
0.0,0.0,Reprovado
2.0,40.0,Reprovado
5.0,68.0,Aprovado
5.0,82.2,Aprovado
4.0,54.25,Reprovado
5.0,40.2,Reprovado
5.0,69.2,Aprovado
5.0,79.8,Aprovado
5.0,59.2,Aprovado
5.0,52.6,Aprovado
5.0,75.6,Aprovado
5.0,70.4,Aprovado
5.0,73.2,Aprovado
5.0,67.6,Aprovado
5.0,74.0,Aprovado
5.0,79.6,Aprovado
5.0,83.6,Aprovado
5.0,77.4,Aprovado
5.0,63.8,Aprovado
5.0,66.4,Aprovado
5.0,73.2,Aprovado
3.0,59.666666666666664,Reprovado
5.0,41.2,Reprovado
5.0,77.8,Aprovado
5.0,59.4,Aprovado
5.0,83.0,Aprovado
5.0,55.2,Reprovado
5.0,73.0,Aprovado
3.0,69.33333333333333,Reprovado
5.0,53.0,Aprovado
5.0,65.8,Aprovado
5.0,57.6,Aprovado
5.0,52.4,Aprovado
2.0,40.0,Reprovado
5.0,61.2,Reprovado
2.0,76.0,Reprovado
5.0,61.6,Aprovado
5.0,83.8,Aprovado
3.0,49.0,Reprovado
5.0,70.6,Aprovado
5.0,64.8,Aprovado
5.0,80.4,Aprovado
0.0,0.0,Reprovado
5.0,54.0,Aprovado
5.0,75.4,Aprovado
5.0,69.0,Aprovado
0.0,0.0,Reprovado
5.0,73.8,Aprovado
1.0,75.0,Reprovado
5.0,90.8,Aprovado
4.0,49.5,Reprovado
5.0,58.2,Aprovado
5.0,60.8,Reprovado
5.0,73.2,Aprovado
5.0,74.6,Aprovado
0.0,0.0,Reprovado
0.0,0.0,Reprovado
5.0,85.8,Aprovado
5.0,75.8,Aprovado
5.0,42.0,Aprovado
5.0,76.8,Aprovado
5.0,64.8,Reprovado
5.0,72.4,Reprovado
5.0,77.4,Aprovado
0.0,0.0,Reprovado
5.0,61.8,Aprovado
5.0,63.0,Reprovado
0.0,0.0,Reprovado
0.0,0.0,Reprovado
5.0,79.8,Aprovado
5.0,56.0,Aprovado
1.0,80.0,Reprovado
0.0,0.0,Reprovado
2.0,84.5,Reprovado
5.0,51.8,Aprovado
5.0,65.6,Aprovado
2.0,44.0,Reprovado
5.0,53.0,Reprovado
4.0,74.0,Reprovado
5.0,55.6,Aprovado
0.0,0.0,Reprovado
5.0,62.6,Aprovado
5.0,52.6,Aprovado
5.0,73.2,Aprovado
3.0,78.33333333333333,Reprovado
1.0,65.0,Reprovado
2.0,34.5,Reprovado
5.0,68.8,Aprovado
5.0,79.4,Aprovado
5.0,66.8,Aprovado
3.0,71.33333333333333,Reprovado
5.0,60.2,Aprovado
0.0,0.0,Aprovado
5.0,69.8,Aprovado
4.0,72.75,Reprovado
1.0,63.0,Reprovado
